trial,blend_rate,borrow_penalty,cov_lookback_days,rebalance_freq,spread_penalty,vol_cap,vol_floor,vol_lookback_days,vol_target,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
214,0.9360782599376689,1.506804198476497,23,47,1.5763904475111123,0.7809603437251765,0.32232140135466203,37,0.1393651520434327,-0.625960,-3.823959,0.554812,1.463244,2.828481,1.572713,0.864818,2.384287,2.735346,-2.065169,2.405063,-2.495687,0.298419,-1.243806,3.866126,-1.968301,5.383370,2.422227,-0.848990,-0.502429,-3.436156,0.983627,-2.358017,3.195816,1.129086,2.064341,3.949673,3.066430,2.518618,-3.989210,0.502371,3.014112,6.020176,0.216736,-3.119933,3.926863,0.858032,6.857994,2.618777,-3.989210,6.020176,0.327646,0.3
349,0.9476664342469556,1.5250339993509339,13,51,1.594610564642161,0.7712649602060798,0.31916861307655536,35,0.2807868993370873,-0.506323,-3.849706,0.512787,1.338638,2.849109,1.576282,0.967090,2.383702,2.667549,-2.066692,2.330224,-2.535320,0.310036,-1.245260,3.835451,-1.963924,5.458386,2.506791,-0.815676,-0.538810,-3.401738,1.003851,-2.239298,3.193551,1.092006,2.159605,3.900391,2.994985,2.464804,-3.991321,0.425794,3.089499,6.031308,0.108599,-3.114670,3.956345,0.858001,6.847099,2.616696,-3.991321,6.031308,0.327895,0.2
244,0.9878401974073993,1.5876867425319512,21,53,1.5616743423672979,0.747806362284064,0.33245001105402394,33,0.10925691977636134,-0.501169,-3.836516,0.580543,1.417209,2.836204,1.446267,0.862314,2.396765,2.746854,-2.110601,2.377569,-2.547262,0.228876,-1.249562,3.883383,-1.969836,5.430609,2.433897,-0.892011,-0.359559,-3.313546,0.954106,-2.268091,3.157284,1.098302,2.026953,3.921158,3.028124,2.563106,-3.986880,0.563269,3.012875,6.010665,0.181967,-3.150954,3.910009,0.857842,6.817233,2.610983,-3.986880,6.010665,0.328551,0.2
171,0.11764163336107226,1.5004868887344651,23,52,1.5321578670695568,0.7163615178904886,0.24865068680850172,6,0.12271623321641076,-0.644369,-3.812823,0.559915,1.482832,2.824833,1.617813,0.858918,2.392509,2.715380,-2.056866,2.405210,-2.485453,0.314268,-1.233623,3.872626,-1.954012,5.332753,2.375119,-0.846175,-0.535164,-3.443976,0.988827,-2.395663,3.208110,1.142830,2.061839,3.942107,3.059139,2.495152,-3.986633,0.539035,3.040777,6.001826,0.222240,-3.100622,3.923611,0.857841,6.833648,2.614125,-3.986633,6.001826,0.328156,0.2
248,0.976519208164693,1.573143259273889,22,50,1.5648835443267242,0.7695446648152633,0.3288366584016926,34,0.11750015465638916,-0.515325,-3.841341,0.564480,1.402933,2.845483,1.413575,0.879130,2.383637,2.747111,-2.096547,2.389989,-2.550328,0.249857,-1.238119,3.885051,-1.969709,5.414487,2.460468,-0.883217,-0.355698,-3.363894,0.971966,-2.286399,3.158941,1.105316,2.022403,3.921720,3.038816,2.580692,-3.986815,0.550952,2.996045,6.012907,0.175857,-3.139393,3.929184,0.857617,6.831194,2.613655,-3.986815,6.012907,0.328129,0.2
395,0.9512696410754808,1.5487469142685224,21,51,1.5148716196921255,0.769969877822425,0.34214487916241215,21,0.2894813282946624,-0.537809,-3.795344,0.557113,1.448872,2.849652,1.509902,0.873517,2.364410,2.723887,-2.103589,2.383009,-2.507206,0.258856,-1.202963,3.897805,-1.964356,5.363619,2.367136,-0.870710,-0.435418,-3.372969,0.940441,-2.311337,3.209846,1.092505,2.040231,3.906589,3.060557,2.542604,-3.979643,0.595004,3.053400,5.945750,0.166617,-3.086733,3.887418,0.857518,6.770581,2.602034,-3.979643,5.945750,0.329557,0.2
223,0.9402182093273733,1.4768512726622505,25,50,1.5414427416344625,0.7788610049658574,0.35176708053659506,35,0.146627493652531,-0.687417,-3.807892,0.612019,1.549042,2.801415,1.679765,0.816456,2.431289,2.672931,-2.042296,2.429818,-2.469475,0.365007,-1.270259,3.864335,-1.907201,5.348936,2.345066,-0.840091,-0.571545,-3.436485,0.988237,-2.487765,3.183957,1.207957,2.047809,3.971380,3.050050,2.476963,-3.995169,0.440045,3.049262,6.062389,0.219741,-3.114847,3.875125,0.857182,6.864818,2.620080,-3.995169,6.062389,0.327159,0.3
209,0.9937178010942417,1.5588906896714612,22,50,1.5901738414944753,0.7631784761506744,0.30810914921470434,33,0.13185453181467033,-0.527816,-3.837466,0.554141,1.405458,2.845971,1.422924,0.883751,2.373737,2.752701,-2.100362,2.389879,-2.538831,0.254517,-1.239604,3.877694,-1.980054,5.430974,2.467413,-0.877705,-0.365481,-3.383031,0.963151,-2.283304,3.169368,1.105736,2.032148,3.928477,3.049997,2.580551,-3.987214,0.526873,2.987437,6.010285,0.172508,-3.137759,3.930611,0.857158,6.842740,2.615863,-3.987214,6.010285,0.327677,0.2
319,0.6809740938495576,1.5246712461255936,14,49,1.5814067577834203,0.7340595177190795,0.33710770780687827,34,0.1204191310423493,-0.534041,-3.871474,0.558603,1.400765,2.841399,1.590105,0.934594,2.384857,2.695368,-2.043836,2.337016,-2.555248,0.286050,-1.232331,3.851904,-1.991475,5.483964,2.461225,-0.817838,-0.521040,-3.406047,0.981528,-2.232357,3.218442,1.056503,2.128772,3.910250,2.983277,2.431831,-3.985028,0.429820,3.080527,6.021543,0.103429,-3.135676,4.005512,0.856969,6.872576,2.621560,-3.985028,6.021543,0.326893,0.2
320,0.2501012307236982,1.4623822462975704,21,46,1.6590587187001873,0.7205649383994185,0.31356053040875836,37,0.11076377656009415,-0.730139,-3.827852,0.614365,1.561022,2.781933,1.806763,0.790464,2.457458,2.742059,-2.086782,2.383919,-2.429266,0.348529,-1.357844,3.817219,-1.977509,5.380285,2.330076,-0.866214,-0.533627,-3.411047,0.949364,-2.448146,3.232620,1.279957,2.081903,3.998156,2.995127,2.414389,-4.012431,0.407550,2.999946,6.055743,0.287290,-3.159379,3.968421,0.856787,6.915560,2.629745,-4.012431,6.055743,0.325806,0.3
