strategy,group_idx,holdout_month_index,sharpe
cost_aware_tilt,20,44,-2.297001132270071
cost_aware_tilt,21,45,2.4332584432559865
cost_aware_tilt,22,46,-0.6775120301034996
cost_aware_tilt,23,47,2.5130750877613623
cost_aware_tilt,24,48,-2.4604315773281598
cost_aware_tilt,25,49,-0.9394343440520221
cost_aware_tilt,26,50,6.7016677456197
cost_aware_tilt,27,51,-0.1461716668483941
cost_aware_tilt,28,52,2.3149061308453054
cost_aware_tilt,29,53,-3.8848388340790745
cost_aware_tilt,30,54,1.424844897978728
cost_aware_tilt,31,55,2.7881491115883152
cost_aware_tilt,32,56,4.74791625957865
cost_aware_tilt,33,57,-0.8740375610042538
cost_aware_tilt,34,58,-2.895665544550804
cost_aware_tilt,35,59,0.9327777901438595
intraday_risk_parity,0,24,0.4668836363987985
intraday_risk_parity,1,25,-4.375251269217251
intraday_risk_parity,2,26,0.2956177711698517
intraday_risk_parity,3,27,1.6205508968631823
intraday_risk_parity,4,28,1.5675145025501802
intraday_risk_parity,5,29,1.3398332543791662
intraday_risk_parity,6,30,-0.7395938463799465
intraday_risk_parity,7,31,2.8795889271045487
intraday_risk_parity,8,32,2.50256501121163
intraday_risk_parity,9,33,-1.5851200566733077
intraday_risk_parity,10,34,2.3302804019286194
intraday_risk_parity,11,35,-2.4758281826249346
intraday_risk_parity,12,36,0.5403202584238324
intraday_risk_parity,13,37,-1.246745751868452
intraday_risk_parity,14,38,2.9778678108767513
intraday_risk_parity,15,39,-0.31269678112375415
intraday_risk_parity,16,40,3.051745907825922
intraday_risk_parity,17,41,0.9965520200253727
intraday_risk_parity,18,42,-2.1245592751770026
intraday_risk_parity,19,43,0.4634226318255442
intraday_risk_parity,20,44,-2.9464225029694955
intraday_risk_parity,21,45,0.8030637631905325
intraday_risk_parity,22,46,-3.305231943996445
intraday_risk_parity,23,47,1.9903143967874537
intraday_risk_parity,24,48,1.7863800535707
intraday_risk_parity,25,49,1.4144731924469676
intraday_risk_parity,26,50,3.6815293198220633
intraday_risk_parity,27,51,1.9648072386061155
intraday_risk_parity,28,52,1.615678656343152
intraday_risk_parity,29,53,-4.1303654621564
intraday_risk_parity,30,54,1.8851840649929597
intraday_risk_parity,31,55,4.24782329609213
intraday_risk_parity,32,56,4.614196368366871
intraday_risk_parity,33,57,-0.7518035747083999
intraday_risk_parity,34,58,-2.2742503828044165
intraday_risk_parity,35,59,4.852180866475224
momentum_tilt,0,24,2.4997067271111564
momentum_tilt,1,25,-4.306617741229178
momentum_tilt,2,26,0.501349963050023
momentum_tilt,3,27,0.8904137208322463
momentum_tilt,4,28,1.0725682085697195
momentum_tilt,5,29,0.6193365370904588
momentum_tilt,6,30,-2.181661765079817
momentum_tilt,7,31,4.153141507795274
momentum_tilt,8,32,2.7669095335975946
momentum_tilt,9,33,-1.6146313756312192
momentum_tilt,10,34,1.9822549520175536
momentum_tilt,11,35,-3.191357925989958
momentum_tilt,12,36,-1.0098643206518512
momentum_tilt,13,37,-0.35787214447956034
momentum_tilt,14,38,2.3892450807657033
momentum_tilt,15,39,1.9809903168583336
momentum_tilt,16,40,2.861170754841047
momentum_tilt,17,41,1.120363800828791
momentum_tilt,18,42,-3.0669826855975795
momentum_tilt,19,43,2.2248020337755627
momentum_tilt,20,44,-1.2481297378323886
momentum_tilt,21,45,0.8627695823926771
momentum_tilt,22,46,-2.316703807936538
momentum_tilt,23,47,1.815517743828682
momentum_tilt,24,48,0.8797105418205029
momentum_tilt,25,49,0.3956706076571981
momentum_tilt,26,50,3.7771838671731977
momentum_tilt,27,51,0.6342145074946561
momentum_tilt,28,52,0.7826696847131447
momentum_tilt,29,53,-3.4280973334459737
momentum_tilt,30,54,3.890660286568996
momentum_tilt,31,55,3.3378613453870067
momentum_tilt,32,56,5.614683706129327
momentum_tilt,33,57,-1.1895123417274662
momentum_tilt,34,58,-3.1046517880473656
momentum_tilt,35,59,4.156654458068339
risk_parity,0,24,2.0560469775308428
risk_parity,1,25,-4.268352920447615
risk_parity,2,26,0.6265981321224261
risk_parity,3,27,0.4072805651311026
risk_parity,4,28,1.3230138209255493
risk_parity,5,29,0.3317124624542344
risk_parity,6,30,-2.0375147293979916
risk_parity,7,31,4.032934653015969
risk_parity,8,32,2.8440719039503524
risk_parity,9,33,-1.5578137914414067
risk_parity,10,34,1.9229756355033714
risk_parity,11,35,-3.027848689114627
risk_parity,12,36,-1.1753066937269947
risk_parity,13,37,-0.9939090234108166
risk_parity,14,38,2.22289673321882
risk_parity,15,39,2.2749969193774766
risk_parity,16,40,2.8076583072040795
risk_parity,17,41,1.2152934911406503
risk_parity,18,42,-3.2896286463978446
risk_parity,19,43,2.2002214945666685
risk_parity,20,44,-1.504428531560998
risk_parity,21,45,1.079457051161924
risk_parity,22,46,-2.5457913499956266
risk_parity,23,47,2.0371059956728694
risk_parity,24,48,0.40519718491188533
risk_parity,25,49,0.29473634670744486
risk_parity,26,50,4.26824481550684
risk_parity,27,51,0.6431883895545959
risk_parity,28,52,0.3648798907185898
risk_parity,29,53,-3.3720570358487385
risk_parity,30,54,3.3831620494625407
risk_parity,31,55,3.181284496262195
risk_parity,32,56,5.118626612178167
risk_parity,33,57,-1.6115316835264342
risk_parity,34,58,-3.0665840964904096
risk_parity,35,59,4.362972418509929
vol_target_risk_parity,0,24,1.8664413757605844
vol_target_risk_parity,1,25,-4.696470571279555
vol_target_risk_parity,2,26,0.3062323356964666
vol_target_risk_parity,3,27,2.6424557484330626
vol_target_risk_parity,4,28,1.3698829077892605
vol_target_risk_parity,5,29,1.3847660849711458
vol_target_risk_parity,6,30,-1.8800107285514203
vol_target_risk_parity,7,31,4.729091444750411
vol_target_risk_parity,8,32,3.6500162898082733
vol_target_risk_parity,9,33,-1.7667330609235974
vol_target_risk_parity,10,34,-1.7527636656366539
vol_target_risk_parity,11,35,-2.693330049472313
vol_target_risk_parity,12,36,-0.46925919382032655
vol_target_risk_parity,13,37,1.3197691637574993
vol_target_risk_parity,14,38,2.7507226809550795
vol_target_risk_parity,15,39,2.0201808653061017
vol_target_risk_parity,16,40,2.6085850243103783
vol_target_risk_parity,17,41,0.3315312568484317
vol_target_risk_parity,18,42,-3.2694552160058983
vol_target_risk_parity,19,43,4.0101980021711
vol_target_risk_parity,20,44,-1.354363970104025
vol_target_risk_parity,21,45,-1.0947809597279186
vol_target_risk_parity,22,46,-1.3589891275068162
vol_target_risk_parity,23,47,0.611722943504231
vol_target_risk_parity,24,48,1.31798143625414
vol_target_risk_parity,25,49,0.42308613499342
vol_target_risk_parity,26,50,2.9880821858244944
vol_target_risk_parity,27,51,-1.0832866592429957
vol_target_risk_parity,28,52,0.6598920276313484
vol_target_risk_parity,29,53,-3.0566677435303338
vol_target_risk_parity,30,54,3.5425876402597187
vol_target_risk_parity,31,55,2.7401160216874256
vol_target_risk_parity,32,56,4.993934286656262
vol_target_risk_parity,33,57,-1.1022237461933844
vol_target_risk_parity,34,58,-4.263444426333401
vol_target_risk_parity,35,59,2.792239547862539
