trial,blend_rate,borrow_penalty,equal_weight_blend,momentum_lookback,rebalance_freq,spread_penalty,zero_negative,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
166,0.6878275915535533,0.09281399217544782,0.1798242421761117,24,78,0.0069746535448500105,True,-2.607526,-5.496051,-0.354868,3.438785,-0.752303,2.301778,-2.893423,2.086954,2.109976,0.723632,2.098917,-4.933803,-5.266008,1.060798,1.608330,1.487897,-1.554971,3.092574,-2.528302,0.065881,-0.844572,-1.159709,-1.416828,5.927307,4.668621,0.400513,5.899286,0.384213,0.718764,-2.645540,3.890660,5.842353,4.211717,0.648459,-3.466608,1.966081,0.519805,9.443201,3.072979,-5.496051,5.927307,0.169153,0.1
262,0.7690338466770089,0.08056703696906785,0.13868830877413246,29,36,0.012929294418604013,True,-2.397100,-5.687035,0.652492,4.159984,0.328123,3.989267,-2.690151,3.804340,2.450876,1.071659,1.240496,-5.565955,-3.912973,1.632546,-0.595311,0.928929,-1.350454,1.907513,-2.261015,0.541970,-0.461889,1.527161,-1.662729,0.571421,4.614375,0.819956,5.756255,0.342563,-0.217173,-2.973578,-1.399082,5.507149,6.131522,0.563332,-1.746399,3.055148,0.518784,8.740690,2.956466,-5.687035,6.131522,0.175475,0.1
185,0.7531779689428242,0.09427852293877588,0.11955650013810974,25,19,0.011497691667837796,True,-1.651508,-5.460448,-0.303768,3.542809,-0.831680,3.293153,-3.516910,2.777568,2.193938,1.056145,1.773044,-5.111497,-4.207286,0.557924,0.101598,1.256136,-1.197615,2.622188,-2.737045,1.169321,-1.351972,-0.260015,-2.760406,6.623519,4.017775,1.385476,4.969745,0.847279,1.673857,-2.621058,-1.634778,6.344810,4.480187,1.009733,-2.762257,3.368237,0.518228,9.389753,3.064270,-5.460448,6.623519,0.169119,0.1
92,0.6934408471603758,0.08428678221912896,0.1592084813653892,16,28,0.012563491782494779,True,-1.747344,-5.325580,0.829401,3.114672,2.330446,1.935540,-2.492027,3.674720,0.563656,-0.262296,3.037417,-1.474739,-2.023848,0.521452,-1.849842,-0.960807,0.398765,2.243353,-1.470579,0.589146,0.077919,-5.080726,-2.070729,4.884247,3.712292,2.292319,2.744127,-0.036719,3.604350,-3.056899,0.204735,5.851081,2.464235,1.027789,-1.236609,1.640420,0.518148,6.792131,2.606172,-5.325580,5.851081,0.198816,0.1
318,0.5458534626754314,0.08724353163551998,0.23706397494186202,125,25,0.010411625510021515,True,2.012655,-5.898253,1.706800,2.883451,1.270384,2.544863,-2.741904,6.095308,1.628514,-1.432470,1.100448,-1.139830,-4.996318,-0.778335,2.541536,1.037602,1.552746,-0.956556,-2.654274,-0.134032,-0.880321,1.586826,-0.051838,-0.235562,-2.066935,0.323070,5.984257,-0.539447,2.520290,-3.411552,3.846500,4.287759,4.944780,-0.819870,-0.420933,-0.065194,0.517893,7.548197,2.747398,-5.898253,6.095308,0.188503,0.1
293,0.7611347877172585,0.08845978598252258,0.2550637245344709,23,23,0.018833389053953657,True,-1.757667,-5.240694,0.064868,3.308264,-1.171334,2.097134,-3.065765,2.591512,1.706312,0.367460,1.674320,-5.549565,-5.175601,1.878461,1.753510,1.311161,-0.913505,2.556206,-1.959305,0.474819,-1.186308,-1.824730,-2.065298,5.129240,4.273038,0.694612,6.062504,0.208007,1.113599,-3.326739,3.890660,5.757545,4.417898,0.780172,-3.449018,3.217567,0.517871,9.449770,3.074048,-5.549565,6.062504,0.168465,0.1
203,0.40387905432942567,0.08797647844155755,0.23805826148717188,24,34,0.022727953054399237,True,-2.368403,-5.439216,-0.235887,3.306029,-0.778852,2.151583,-2.812038,2.403488,2.145043,0.625793,2.203473,-4.995933,-5.197824,1.006094,1.751813,1.551076,-1.337735,3.006108,-2.637308,0.292543,-0.858942,-1.264354,-1.573519,6.418199,4.448404,0.352766,5.523103,0.319177,0.722837,-2.762652,3.890660,5.647650,4.253418,0.601781,-3.546479,1.820615,0.517570,9.362689,3.059851,-5.439216,6.418199,0.169149,0.1
174,0.7666862306898746,0.09142089219642908,0.13437987064492005,23,25,0.006569529835909064,True,-2.312116,-5.305992,-0.074125,3.554627,-1.360472,2.304073,-3.040994,2.307551,1.515062,0.675325,1.545508,-5.564352,-5.311836,2.012590,1.614859,1.203400,-1.350380,2.704053,-1.742557,0.053053,-1.135746,-1.496683,-1.852255,4.892559,4.623387,0.736830,6.404227,0.224541,1.127013,-3.225441,3.890660,6.033577,4.249724,0.991212,-3.301456,3.038693,0.517448,9.688690,3.112666,-5.564352,6.404227,0.166239,0.1
462,0.48479482678338653,0.09160682610875857,0.22599161638894238,16,21,0.02067973290375991,True,-1.714813,-5.451463,0.394187,2.923315,2.396564,1.792448,-2.516005,3.654922,0.572530,0.014705,2.994934,-1.552623,-1.478428,0.722652,-1.818578,-1.100506,0.587309,2.371979,-1.780682,0.714393,0.031465,-4.818522,-2.071902,5.118680,3.823899,2.356068,2.713354,0.002010,3.625072,-3.173818,0.092930,5.685064,2.582413,0.900141,-1.449908,1.477349,0.517254,6.786159,2.605026,-5.451463,5.685064,0.198560,0.1
466,0.9406025627408986,0.09279804490726051,0.1774884781090481,11,16,0.08535835080742744,True,0.254985,-9.129189,0.986395,1.137360,1.347310,4.245070,-1.419479,5.046057,3.809617,-2.010206,1.141890,-0.847008,-3.248767,0.431988,2.301755,-2.828433,1.375124,4.845373,-2.753002,0.144367,-2.402291,-2.077293,-1.965546,6.061880,2.073112,-0.355381,3.384593,4.288675,0.659646,-4.344640,5.292779,5.406854,-1.789351,-0.869145,-2.113411,2.518208,0.516664,10.778636,3.283083,-9.129189,6.061880,0.157372,0.1
