trial,blend_rate,borrow_penalty,equal_weight_blend,floor_ann_vol,momentum_lookback,rebalance_freq,spike_multiplier,spread_penalty,vol_lookback_days,zero_negative,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
83,0.488014589485153,0.32244617647031687,0.06676435876751277,0.150493884745692,39,56,1.3177697182471189,1.2458229508484318,12,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,-2.278761,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.780057,2.224802,-1.248130,0.862770,-2.316704,1.815518,5.374407,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.857730,6.476055,2.544810,-4.306618,5.614684,0.337051,0.2
440,0.8063453350597288,0.7396029705575834,0.00022081212342220488,0.15980937332575865,53,58,1.3961617349407207,0.7791462582872754,16,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.348373,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.825661,6.151765,2.480275,-4.306618,5.614684,0.332891,0.2
184,0.15987536940218747,0.8168997908924387,0.0005729624038119472,0.18927883075730478,57,52,1.5638619866491104,0.7038193438146079,12,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.347317,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.825632,6.151613,2.480245,-4.306618,5.614684,0.332883,0.2
337,0.7582118468676324,0.820814430379524,0.052965403425372315,0.17623286779035907,53,59,1.3495719982365608,0.6581624129610096,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.346807,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.825618,6.151539,2.480230,-4.306618,5.614684,0.332880,0.2
419,0.8708771711135351,0.7546278577196557,0.008228459577131472,0.14996791694506417,57,42,1.2852919944597312,0.7739522896692772,18,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.324220,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.824990,6.148299,2.479576,-4.306618,5.614684,0.332714,0.2
169,0.1346847552625887,0.7829043353603661,0.01846234505727032,0.18453600953801616,57,54,1.6097363587779843,0.712935872827082,12,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.292875,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.824120,6.143850,2.478679,-4.306618,5.614684,0.332483,0.2
334,0.8124586860504847,0.8242313924880539,0.0248250204701147,0.1680506698154641,57,57,1.3907058102738026,0.6153844151628025,16,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.273114,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.823571,6.141073,2.478119,-4.306618,5.614684,0.332337,0.2
159,0.11851149401492196,0.6632547882781551,0.02678132439812266,0.19440638740200636,53,56,1.5151472490916702,0.88501159797675,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.266995,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.823401,6.140218,2.477946,-4.306618,5.614684,0.332292,0.2
482,0.790511611204415,0.5749104615697788,0.0014697752139853672,0.14738510031116364,55,44,1.398092115236602,0.916477244010284,12,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.344627,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.677165,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,-2.092117,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.822836,6.020770,2.453726,-4.306618,5.614684,0.335341,0.2
249,0.8270128245470135,0.6696476738396246,0.034812367119153996,0.1661111988610496,53,59,1.3547038848659092,0.842985106490097,15,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.241666,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.822697,6.136699,2.477236,-4.306618,5.614684,0.332103,0.2
